titleId,primaryTitle,originalTitle,averageRating,numVotes,startYear,runtimeMinutes,genres,foreignFlag,directors,primaryName
tt0269347,The Hunted,The Hunted,6.1,51651,2003,94,"Action,Crime,Drama",false,nm0001243,William Friedkin
tt0269389,Jalla! Jalla!,Jalla! Jalla!,6.8,14739,2000,88,"Comedy,Drama,Romance",false,nm0267244,Josef Fares
tt0269743,Barking Dogs Never Bite,Flandersui gae,6.9,10421,2000,110,Comedy,true,nm0094435,Bong Joon Ho
tt0270288,Confessions of a Dangerous Mind,Confessions of a Dangerous Mind,7.0,92261,2002,113,"Biography,Comedy,Crime",false,nm0000123,George Clooney
tt0271027,Kiss of the Dragon,Kiss of the Dragon,6.6,66833,2001,98,"Action,Crime,Thriller",false,nm0619599,Chris Nahon
tt0271383,A Dog's Will,O Auto da Compadecida,8.6,17095,2000,104,"Comedy,Drama,Fantasy",true,nm0037136,Guel Arraes
tt0272020,The Last Castle,The Last Castle,6.9,85592,2001,131,"Action,Drama,Thriller",false,nm0527109,Rod Lurie
tt0272152,K-PAX,K-PAX,7.4,193661,2001,120,"Drama,Mystery,Sci-Fi",false,nm0812200,Iain Softley
tt0272207,Narc,Narc,7.1,43317,2002,105,"Crime,Drama,Mystery",false,nm0138620,Joe Carnahan
tt0272338,Punch-Drunk Love,Punch-Drunk Love,7.3,178685,2002,95,"Comedy,Drama,Romance",false,nm0000759,Paul Thomas Anderson
tt0273435,Ararat,Ararat,6.3,14807,2002,115,"Drama,War",false,nm0000382,Atom Egoyan
tt0273923,Orange County,Orange County,6.2,52069,2002,82,"Comedy,Drama",false,nm0440458,Jake Kasdan
tt0273982,Poolhall Junkies,Poolhall Junkies,6.8,10924,2002,99,"Comedy,Drama,Sport",false,nm0552358,Mars Callahan
tt0274117,Read My Lips,Sur mes lèvres,7.3,16505,2001,115,"Crime,Drama,Romance",true,nm0002191,Jacques Audiard
tt0274166,Johnny English,Johnny English,6.3,175115,2003,87,"Action,Adventure,Comedy",false,nm0398185,Peter Howitt
tt0274309,24 Hour Party People,24 Hour Party People,7.3,39848,2002,117,"Biography,Comedy,Drama",false,nm0935863,Michael Winterbottom
tt0274497,The Ignorant Fairies,Le fate ignoranti,7.3,10087,2001,106,"Drama,Romance",true,nm0654858,Ferzan Özpetek
tt0274558,The Hours,The Hours,7.5,139877,2002,110,"Drama,Romance",false,nm0197636,Stephen Daldry
tt0274812,Secretary,Secretary,6.9,99250,2002,107,"Comedy,Drama,Romance",false,nm0787601,Steven Shainberg
tt0275083,The Warrior,Musa,7.2,11285,2001,158,"Action,Drama,History",true,nm1226290,Kim Sung-su
tt0275230,Blood: The Last Vampire,Blood: The Last Vampire,6.6,13352,2000,48,"Action,Animation,Horror",false,nm0457541,Hiroyuki Kitakubo
tt0275309,Dogtown and Z-Boys,Dogtown and Z-Boys,7.6,13384,2001,91,"Documentary,Sport",false,nm0672769,Stacy Peralta
tt0275491,Bad Education,La mala educación,7.4,63598,2004,106,"Crime,Drama",true,nm0000264,Pedro Almodóvar
tt0275719,Tape,Tape,7.2,21223,2001,86,Drama,false,nm0000500,Richard Linklater
tt0275773,Versus,Versus,6.3,13767,2000,119,"Action,Drama,Fantasy",false,nm0457565,Ryûhei Kitamura
